"general_concept_id","category","subcategory","general_concept_name","comments"
315,"Ventilation","Ventilation parameters","Lung compliance","# Definition

Lung compliance is a measure of the lung's ability to stretch and expand, expressed as the change in lung volume per unit change in pressure, in **mL/cmH2O**. Normal static compliance in mechanically ventilated adults ranges approximately from 70-100 mL/cmH2O.

# Mapping Strategy

Prioritize distinguishing between static compliance (measured without airflow, reflects only elastic properties) and dynamic compliance (measured during active breathing, includes both elastic properties and airway resistance). Use the generic lung compliance concept only when the measurement method is unspecified.

## Recommended concepts

**Default concept:**

- **Lung compliance** (SNOMED 4298264): Use when static vs dynamic distinction is unavailable
- **Lung compliance** (LOINC 21490581): LOINC equivalent for generic lung compliance

**Static compliance (preferred for ARDS monitoring):**

- **Static lung compliance** (SNOMED 4090322): Measured during inspiratory pause with no airflow, reflects pure elastic properties
- **Compliance.static Lung** (LOINC 21490583): LOINC equivalent for static compliance

**Dynamic compliance:**

- **Dynamic compliance** (SNOMED 4090654): Measured during normal breathing between points of zero flow, includes elastic properties and airway resistance
- **Dynamic lung compliance** (LOINC 21490582): LOINC equivalent for dynamic compliance
- **Total dynamic compliance** (SNOMED 4353624): Dynamic compliance of the entire respiratory system (lung + chest wall)

**Specialized concept:**

- **Specific compliance (lung)** (SNOMED 4090655): Compliance normalized by lung volume (typically Functional Residual Capacity - FRC, the volume of air remaining in lungs after normal expiration), expressed in **cmH2O⁻¹**, used to compare patients of different sizes

# Important Notes

- **Static vs dynamic compliance**: Static compliance (Cstat) is measured during inspiratory pause with no airflow and reflects only elastic properties: Cstat = Tidal Volume / (Plateau Pressure - PEEP). Dynamic compliance (Cdyn) is measured during active breathing and includes both elastic properties and airway resistance: Cdyn = Tidal Volume / (Peak Inspiratory Pressure - PEEP)
- Dynamic compliance is always lower than static compliance due to airway resistance contribution
- Normal values: Static compliance ~70-100 mL/cmH2O; Dynamic compliance ~50-80 mL/cmH2O; Specific compliance ~0.05 cmH2O⁻¹
- Low static compliance indicates decreased lung or chest wall elasticity (pulmonary fibrosis, ARDS, pneumothorax, pleural effusion)"
316,"Ventilation","Ventilation parameters","Mean airway pressure","# Definition

Mean airway pressure (MAP or Pmean) is the average pressure in the airways throughout the entire respiratory cycle (inspiration and expiration), expressed in **cmH2O** or **mmHg**. Typical ICU values range approximately from 8-20 cmH2O.

# Mapping Strategy

Use the single SNOMED concept for mean airway pressure. This is a straightforward measurement parameter with no method variations.

## Recommended concepts

**Default concept:**

- **Mean inspiratory airway pressure** (SNOMED 44782824): Use for all mean airway pressure measurements

# Important Notes

- Mean airway pressure is calculated as a time-weighted average of airway pressure over the complete respiratory cycle (both inspiratory and expiratory phases)
- Do not confuse with peak inspiratory pressure (PIP) or plateau pressure (Pplat), which are single-point measurements during specific phases of ventilation
- Unit conversion: 1 cmH2O ≈ 0.74 mmHg (or 1 mmHg ≈ 1.36 cmH2O)"
317,"Ventilation","Ventilation parameters","Minute volume","# Definition

Minute volume (also called minute ventilation) is the total volume of gas entering or leaving the lungs per minute, expressed in **L/min**. It is calculated as tidal volume × respiratory rate. Normal values range approximately from 5-10 L/min in adults at rest.

# Mapping Strategy

Prioritize distinguishing between set values (prescribed on ventilator), measured inspiratory vs expiratory volumes, and the type of breaths contributing to the total (spontaneous, mandatory, or both).

## Recommended concepts

**Default concept:**

- **Minute volume** (SNOMED 4353621): Use when no additional detail is available about measurement type or breath source

**Set minute volume:**

- **Minute volume setting Ventilator** (LOINC 3045410): Target minute volume set on the ventilator (used in minute ventilation modes)

**Measured minute volume by breath type:**

- **Total minute volume** (SNOMED 4107999): Combined volume from all breath types (spontaneous + mandatory)
- **Spontaneous minute volume** (SNOMED 4108000): Volume from patient-initiated breaths only
- **Mandatory minute volume** (SNOMED 4108447): Volume from ventilator-delivered mandatory breaths only
- **Triggered minute volume** (SNOMED 4353945): Volume from patient-triggered breaths (ventilator-assisted)

**Measured minute volume by phase:**

- **Inspiratory minute volume** (SNOMED 4141207): Total inspired volume per minute (generic)
- **Inspired minute Volume** (LOINC 21490754): Inspired volume measured during any ventilation
- **Inspired minute Volume during Mechanical ventilation** (LOINC 42527121): Inspired volume specifically during mechanical ventilation
- **Expiratory minute volume** (SNOMED 4144329): Total expired volume per minute (generic)
- **Expired minute Volume during Mechanical ventilation** (LOINC 42527120): Expired volume specifically during mechanical ventilation

# Important Notes

- In assist-control or volume-control modes, mandatory minute volume equals total minute volume (no spontaneous breaths)
- In pressure support or SIMV modes, total minute volume = mandatory minute volume + spontaneous minute volume"
318,"Ventilation","Ventilation parameters","Positive End-Expiratory Pressure (PEEP)","# Definition

Positive End-Expiratory Pressure (PEEP) is the pressure in the lungs above atmospheric pressure at the end of expiration, expressed in **cmH2O** or **mmHg**. Typical ICU values range approximately from 5-15 cmH2O.

# Mapping Strategy

Prioritize distinguishing between set values (prescribed on ventilator) and measured values (actual airway pressure). For measured PEEP, specify whether intrinsic and extrinsic components were differentiated via expiratory pause maneuver.

## Recommended concepts

**Default concept:**

- **Positive end expiratory pressure** (SNOMED 4353713): Use when set/measured distinction is unavailable

**Set PEEP concepts:**

- **Positive end expiratory pressure setting** (SNOMED 4216746): Value set/prescribed on the ventilator (generic)
- **Positive end expiratory pressure setting Ventilator** (LOINC 3022875): Value set on the ventilator (LOINC equivalent)

**Measured PEEP concepts:**

- **Total PEEP Respiratory system** (LOINC 42527140): Measured PEEP without expiratory pause maneuver (includes intrinsic + extrinsic components)

**Measured PEEP components (with expiratory pause maneuver):**

- **Intrinsic PEEP Respiratory system** (LOINC 3035822): Auto-PEEP component, measured during expiratory pause
- **Extrinsic PEEP Respiratory system** (LOINC 42528515): Applied PEEP component, measured during expiratory pause

# Important Notes

- Use ""Total PEEP"" for routine measured values without an expiratory pause maneuver
- Use ""Intrinsic"" and ""Extrinsic"" PEEP only when an expiratory pause was performed to distinguish them
- **Measurement method**: During expiratory pause maneuver, the expiratory valve closes and airflow stops (3-5 seconds), allowing alveolar pressure to equilibrate with airway pressure. The measured pressure is Total PEEP. Intrinsic PEEP (auto-PEEP) is calculated as: **Intrinsic PEEP = Total PEEP − Extrinsic PEEP (set)**
- Intrinsic PEEP (auto-PEEP) occurs when insufficient time is allowed for complete exhalation, common in obstructive lung diseases (COPD, asthma)
- Unit conversion: 1 cmH2O ≈ 0.74 mmHg (or 1 mmHg ≈ 1.36 cmH2O)"
319,"Ventilation","Ventilation parameters","Peak inspiration pressure","# Definition

Peak inspiratory pressure (PIP) is the maximum pressure measured in the airways during the inspiratory phase of mechanical ventilation, expressed in **cmH2O** or **mmHg**. PIP reflects the combined pressure from airway resistance, lung compliance, and chest wall compliance.

# Mapping Strategy

Use the single SNOMED concept for peak inspiratory pressure. This is a straightforward measurement parameter with no method variations.

## Recommended concepts

**Default concept:**

- **Peak inspiratory pressure** (SNOMED 4101694): Use for all peak inspiratory pressure measurements

# Important Notes

- PIP includes both resistive pressure (from airway resistance) and elastic pressure (from lung and chest wall compliance), measured during active airflow
- Do not confuse with plateau pressure (Pplat), which reflects only elastic recoil pressure and is measured during an end-inspiratory pause with no airflow
- PIP is continuously monitored on all mechanical ventilators and does not require an inspiratory pause maneuver
- Unit conversion: 1 cmH2O ≈ 0.74 mmHg (or 1 mmHg ≈ 1.36 cmH2O)"
320,"Ventilation","Ventilation parameters","Plateau pressure","# Definition

Plateau pressure (Pplat) is the pressure measured in the airways during an end-inspiratory pause on mechanical ventilation, expressed in **cmH2O** or **mbar** (1 cmH2O = 1 mbar). Plateau pressure >30 cmH2O is associated with increased risk of ventilator-induced lung injury.

# Mapping Strategy

Use the single SNOMED concept for plateau pressure. This is a straightforward measurement parameter with no method variations.

## Recommended concepts

**Default concept:**

- **Airway plateau pressure** (SNOMED 698822002): Use for all plateau pressure measurements

# Important Notes

- Plateau pressure requires an end-inspiratory pause and is only measurable in volume-controlled or volume-targeted ventilation modes
- Pplat reflects alveolar pressure and elastic recoil of the respiratory system, excluding airway resistance
- Do not confuse with peak inspiratory pressure (PIP), which includes resistive pressure and is measured during active airflow"
321,"Ventilation","Ventilation parameters","Respiratory rate","# Definition

Respiratory rate in the context of mechanical ventilation refers to the number of breaths delivered or measured per minute during mechanical ventilatory support, expressed in **breaths per minute (breaths/min or /min)**. Typical ventilator settings range from 10-20 breaths/min for adults.

**Important distinction**: This concept refers to **ventilator settings or ventilator-measured respiratory rate** (mechanical ventilation parameters). This is distinct from the ""Respiratory rate"" concept in the Vitals category, which refers to **observed or measured respiratory rate as a vital sign** (patient clinical assessment). Use this Ventilation concept for ventilator management; use the Vitals concept for clinical assessment of patient breathing.

# Mapping Strategy

Prioritize distinguishing between set values (prescribed on ventilator) and measured values (actual breath count), and the type of breaths contributing to the total (spontaneous, mandatory, or combined).

## Recommended concepts

**Set respiratory rate:**

- **Breath rate setting Ventilator** (LOINC 3007469): Target respiratory rate set on the ventilator (mandatory breath rate in volume-control, pressure-control, or assist-control modes)

**Measured respiratory rate on mechanical ventilation:**

- **Breath rate spontaneous --on ventilator** (LOINC 3026892): Spontaneous breaths only (patient-initiated breaths in partial support modes like pressure support or SIMV)
- **Breath rate spontaneous and mechanical --on ventilator** (LOINC 3007646): Total breath rate including both spontaneous and mandatory breaths

# Important Notes

- **Ventilator parameter vs vital sign**: This concept is for ventilator settings or ventilator-measured breath rate. For observed/measured respiratory rate as a clinical vital sign (patient assessment without reference to ventilator), use the ""Respiratory rate"" concept from the Vitals category
- **Set vs measured**: The set breath rate is the mandatory rate programmed on the ventilator. The measured rate may be higher if the patient triggers additional spontaneous breaths
- In assist-control or volume-control modes, the measured breath rate typically equals the set rate (all breaths are mandatory)
- In pressure support or SIMV modes, the total measured breath rate = mandatory (set) breath rate + spontaneous breath rate"
322,"Ventilation","Ventilation parameters","Tidal volume","# Definition

Tidal volume (Vt) is the volume of air moved into or out of the lungs during a single breath, expressed in **mL** or **L**. In lung-protective ventilation for ARDS, target tidal volume is 6-8 mL/kg of predicted body weight (PBW), not actual body weight.

# Mapping Strategy

Prioritize distinguishing between set values (prescribed on ventilator), measured inspiratory vs expiratory volumes, and the type of breaths (spontaneous, mandatory, or combined). For weight-normalized tidal volumes, note that LOINC concepts use actual body weight, not predicted/ideal body weight.

## Recommended concepts

**Default concept:**

- **Tidal volume** (SNOMED 4029625): Use when no additional detail is available about measurement type or breath source

**Set tidal volume:**

- **Tidal volume setting Ventilator** (LOINC 3012410): Target tidal volume set on the ventilator (volume-controlled modes)

**Measured tidal volume by breath type:**

- **Spontaneous tidal volume** (SNOMED 4108448): Volume from patient-initiated spontaneous breaths only
- **Mandatory tidal volume** (SNOMED 4353946): Volume from ventilator-delivered mandatory breaths only

**Measured tidal volume by phase:**

- **Inspiratory tidal volume** (SNOMED 44782826): Volume delivered during inspiration (generic)
- **Tidal volume.inspired** (LOINC 36303816): Inspired tidal volume (LOINC equivalent)
- **Expiratory tidal volume** (SNOMED 44782827): Volume exhaled during expiration (generic)
- **Tidal volume expired Respiratory system airway** (LOINC 21490752): Expired tidal volume (LOINC equivalent)

**Measured tidal volume on mechanical ventilation:**

- **Tidal volume Ventilator --on ventilator** (LOINC 21490854): Measured tidal volume during mechanical ventilation (generic)
- **Tidal volume expired Respiratory system airway --on ventilator** (LOINC 21490789): Expired tidal volume during mechanical ventilation
- **Tidal volume.spontaneous --on ventilator** (LOINC 3017594): Spontaneous breaths only during mechanical ventilation
- **Tidal volume.spontaneous+mechanical --on ventilator** (LOINC 3004732): Combined spontaneous and mandatory breaths

**Weight-normalized tidal volume:**

- **Tidal volume.spontaneous/Body weight [Volume/mass] --on ventilator** (LOINC 3017054): Spontaneous tidal volume per kg body weight
- **Tidal volume.spontaneous+mechanical/Body weight [Volume/mass] --on ventilator** (LOINC 3017878): Total tidal volume per kg body weight

## Not recommended for routine use

Use these concepts **only when compressible gas volume correction or sigh breaths are specifically documented** in your source data.

**Compressible gas volume corrections:**

- **Tidal volume expired spontaneous corrected for compressible gas volume Respiratory system airway --on ventilator** (LOINC 3011767): Accounts for gas compression in ventilator circuit
- **Tidal volume expired spontaneous uncorrected for compressible gas volume setting Ventilator** (LOINC 3020572): Raw measurement without circuit compression correction
- **Tidal volume expired spontaneous+mechanical corrected for compressible gas volume --on ventilator** (LOINC 3009097): Corrected for circuit compression
- **Tidal volume inspired spontaneous+mechanical corrected for compressible gas volume --on ventilator** (LOINC 3021470): Corrected inspired volume
- **Tidal volume.spontaneous+mechanical corrected for compressible gas volume --on ventilator** (LOINC 3007828): Generic corrected measurement
- **Tidal volume.spontaneous+mechanical uncorrected for compressible gas volume --on ventilator** (LOINC 3017707): Generic uncorrected measurement
- **Tidal volume.spontaneous+mechanical/Body weight [Volume/mass] corrected for compressible gas volume --on ventilator** (LOINC 3016864): Weight-normalized corrected volume

**Specialized breath types:**

- **Tidal volume sigh spontaneous+mechanical --on ventilator** (LOINC 3008805): Tidal volume during sigh breaths (periodic larger breaths to prevent atelectasis)

# Important Notes

- Expiratory tidal volume is typically more accurate than inspiratory tidal volume due to circuit leak compensation
- **Weight normalization caveat**: LOINC concepts normalize by actual body weight, but lung-protective ventilation protocols require normalization by **predicted body weight (PBW)** based on height and sex. When documenting mL/kg values, specify whether actual or predicted body weight was used, or calculate and store PBW separately
- Predicted body weight formulas: PBW (male) = 50 + 0.91 × (height in cm − 152.4); PBW (female) = 45.5 + 0.91 × (height in cm − 152.4)
- Compressible gas volume correction accounts for gas compression in the ventilator circuit and is typically only relevant for research or precise calculations"
324,"Vitals","Haemodynamics","Cardiac output","# Definition

Cardiac output (CO) represents the volume of blood pumped by the heart per unit of time, expressed in **liters per minute (L/min)**. Normal cardiac output in adults at rest ranges from approximately 4-8 L/min, varying with body size, age, and metabolic demand. It is a critical hemodynamic parameter used to assess cardiovascular function and tissue perfusion in intensive care and critical care settings.

# Mapping Strategy

Prioritize the most granular concept available that matches your measurement method and anatomical location (left vs right ventricle). Use the generic ""Cardiac output"" concept only when the specific measurement method or ventricular location cannot be determined.

**For combined information**: If both measurement method and clinical context are documented and clinically important, use FACT_RELATIONSHIP to link the measurement concept to relevant contextual information.

## Recommended concepts

**Default concept:**

- **Cardiac output** (SNOMED 82799009): Use when measurement method and ventricular location are unknown

**Left ventricular concepts:**

- **Left ventricular Cardiac output** (LOINC 8741-1): Generic left ventricular cardiac output when specific method is unknown

**Invasive monitoring methods:**

- **Left ventricular Cardiac output by Indicator dilution** (LOINC 8737-9): Thermodilution or dye dilution techniques (e.g., Swan-Ganz catheter, PiCCO, LiDCO with bolus injection)
- **Left ventricular Cardiac output by Continuous** (LOINC 76519-8): Continuous monitoring systems using pulse contour analysis (e.g., PiCCO continuous, FloTrac, LiDCO continuous)
- **Left ventricular Cardiac output by Intermitent measure** (LOINC 61014-7): Intermittent measurement systems
- **Left ventricular Cardiac output by Fick method** (LOINC 8736-1): Calculated using oxygen consumption and arteriovenous oxygen difference (cardiac catheterization)

**Ultrasound/echocardiography methods:**

- **Left ventricular Cardiac output by US.doppler** (LOINC 8735-3): Doppler ultrasound measurement through left ventricular outflow tract (LVOT) or aortic valve (most common point-of-care method)
- **Left ventricular Cardiac output by US** (LOINC 24526-6): Generic ultrasound measurement when specific technique is unknown
- **Left ventricular Cardiac output by US.2D+Calculated** (LOINC 76565-1): Generic 2D ultrasound with volumetric calculation
- **Left ventricular Cardiac output by US.M-mode+Calculated** (LOINC 76564-4): Generic M-mode ultrasound with calculation
- **Left ventricular Cardiac output by US 3D** (LOINC 81390-7): 3D echocardiography
- **Ventricular Cardiac output by 2D echo** (LOINC 8731-2): Generic 2D echocardiography without specifying ventricle or calculation method
- **Aorta root Cardiac output by US.doppler** (LOINC 17992-9): Doppler measurement at aortic root

**Ultrasound 2D calculation formulas:**

- **Left ventricular Cardiac output by US.2D+Calculated by Teichholz method** (LOINC 76569-3): Linear dimension-based calculation (M-mode or 2D derived)
- **Left ventricular Cardiac output by US.2D+Calculated by Gibson method** (LOINC 76571-9): Alternative linear dimension formula
- **Left ventricular Cardiac output by US.2D+Calculated by cube method** (LOINC 76567-7): Cubic formula for left ventricular volume
- **Left ventricular Cardiac output by US.2D+Calculated by biplane area-length method** (LOINC 93649-2): Biplane volumetric calculation
- **Left ventricular Cardiac output by US.2D+Calculated by biplane ellipse method** (LOINC 20204-4): Biplane ellipsoid model
- **Left ventricular Cardiac output by US.2D+Calculated by bullet method** (LOINC 20205-1): Bullet-shaped ventricular model
- **Left ventricular Cardiac output by US.2D+Calculated by single-plane ellipse method** (LOINC 20212-7): Single-plane ellipsoid model
- **Left ventricular Cardiac output by US 2D left ventricular outflow tract calculated** (LOINC 20207-7): LVOT diameter and VTI-based calculation
- **Left ventricular Cardiac output by US 2D modified biplane calculated** (LOINC 20208-5): Modified biplane Simpson's method

**Ultrasound M-mode calculation formulas:**

- **Left ventricular Cardiac output by US.M-mode+Calculated by Teichholz method** (LOINC 76568-5): M-mode linear dimensions with Teichholz formula
- **Left ventricular Cardiac output by US.M-mode+Calculated by Gibson method** (LOINC 76570-1): M-mode linear dimensions with Gibson formula
- **Left ventricular Cardiac output by US.M-mode+Calculated by cube method** (LOINC 76566-9): M-mode linear dimensions with cubic formula

**Ultrasound view-specific and formula-specific methods:**

- **Left ventricular Cardiac output by US.2D.A2C+Calc by single plane area-length method** (LOINC 93647-6): Apical 2-chamber view with area-length formula
- **Left ventricular Cardiac output by US.2D.A2C+Calculated by single plane method of disks** (LOINC 93650-0): Apical 2-chamber view with Simpson's method
- **Left ventricular Cardiac output by US.2D.A4C+Calc by single plane area-length method** (LOINC 93648-4): Apical 4-chamber view with area-length formula
- **Left ventricular Cardiac output by US.2D.A4C+Calculated by single plane method of disks** (LOINC 93651-8): Apical 4-chamber view with Simpson's method
- **Left ventricular Cardiac output by US+Calculated by Teichholz method** (LOINC 20213-5): Generic ultrasound with Teichholz calculation
- **Left ventricular Cardiac output by US.cubed.calculated** (LOINC 20206-9): Cubic formula calculation
- **Left ventricular Cardiac output.2 chamber by US 2D modified single-plane calculated** (LOINC 20210-1): 2-chamber view with modified single-plane method
- **Left ventricular Cardiac output.4 chamber by US 2D modified single-plane calculated** (LOINC 20211-9): 4-chamber view with modified single-plane method
- **Ventricular Cardiac output by US.2D+Calculated by modified Simpson method** (LOINC 20209-3): Modified Simpson's rule (method of disks)
- **Left ventricular Cardiac output/Heart rate 4 chamber by US 2D modified single-plane calculated** (LOINC 20332-3): Cardiac output divided by heart rate from 4-chamber view (provides stroke volume)

**Imaging methods (non-ultrasound):**

- **Left ventricular Cardiac output by MR** (LOINC 8738-7): Cardiac magnetic resonance imaging
- **Left ventricular Cardiac output by Angiography biplane** (LOINC 8732-0): Biplane angiography
- **Left ventricular Cardiac output by Angiography single plane** (LOINC 8733-8): Single-plane angiography
- **Left ventricular Cardiac output by Spiral CT** (LOINC 8734-6): Computed tomography
- **Left ventricular Cardiac output by Nuclear blood pool** (LOINC 8739-5): Nuclear medicine blood pool imaging

**Right ventricular concepts:**

- **Right ventricular cardiac output** (SNOMED 428628004): Generic right ventricular measurement
- **Right ventricular Cardiac output by Indicator dilution** (LOINC 101151-9): Pulmonary artery thermodilution (Swan-Ganz catheter)
- **Right ventricular Cardiac output by Fick method** (LOINC 101150-1): Calculated using oxygen consumption
- **Right ventricular Cardiac output by US 2D tricuspid valve** (LOINC 20214-3): Echocardiography via tricuspid valve
- **Pulmonary artery Cardiac output by US** (LOINC 17994-5): Ultrasound measurement at pulmonary artery

# Clinical Context

**For intensive care/critical care monitoring:**
- Thermodilution methods (Swan-Ganz, PiCCO) → Use ""Indicator dilution"" concepts
- Pulse contour analysis (FloTrac, LiDCO continuous) → Use ""Continuous"" measurement concepts
- Point-of-care ultrasound → Use Doppler or 2D ultrasound concepts with appropriate calculation method if documented

**For cardiology assessments:**
- Transthoracic echocardiography → Use LVOT Doppler, 2D calculation methods, or view-specific concepts based on documentation
- Cardiac catheterization → Use Fick method or indicator dilution concepts
- Cardiac MRI → Use ""by MR"" concept
- Advanced imaging → Use appropriate angiography, CT, or nuclear imaging concepts

**For echocardiography:**
- When the specific calculation formula is documented (Teichholz, Simpson, Gibson, etc.), use the formula-specific concept
- When only the general method is known (2D, M-mode, Doppler), use the generic ultrasound concepts
- Apical views (A2C, A4C) with specific calculations should use view-specific concepts"
325,"Vitals","Haemodynamics","Central venous pressure","# Definition

Central venous pressure (CVP) represents the blood pressure in the central venous system (venae cavae or right atrium), expressed in **mmHg** or **cmH2O**. Normal CVP ranges approximately from 2-8 mmHg (3-11 cmH2O) in adults.

# Mapping Strategy

LOINC distinguishes CVP measurements by **timing phase** (mean, systolic, diastolic) and **system location** (central venous catheter vs blood in central veins). The presence of systolic/diastolic variations depends on the measurement location within the central venous system.

Prioritize the **generic CVP measurement** (SNOMED or LOINC generic) when timing is unspecified, and use timing-specific concepts when your monitoring system explicitly reports mean, systolic, or diastolic components.

## Recommended concepts

**Default and primary concepts:**

- **Central venous pressure** (SNOMED 71420008): Use when measurement timing is unspecified or when reporting single CVP value (most common ICU use case)
- **Central venous pressure (CVP)** (LOINC 60985-9): Generic LOINC concept measuring intravascular pressure via central venous catheter, use when timing is unspecified

**Timing-specific concepts:**

- **Central venous pressure (CVP) Mean** (LOINC 8591-0): Mean CVP across cardiac cycle (measured in blood in central veins)
- **Central venous pressure (CVP) Systolic** (LOINC 60987-5): Peak intravascular pressure during ventricular systole measured via central venous catheter
- **Central venous pressure (CVP) Diastolic** (LOINC 60986-7): Nadir intravascular pressure during ventricular diastole measured via central venous catheter

## Not recommended for routine use

**Non-standard procedure concept:**

- **Measurement of central venous pressure** (SNOMED 54654001): Non-standard SNOMED procedure concept; prefer the observable entity concept (SNOMED 71420008) for actual pressure measurements

# Important Notes

- CVP is measured via a central venous catheter (subclavian, internal jugular, or femoral vein) with the transducer zeroed at the level of the right atrium (phlebostatic axis)
- **Measurement location matters**: When the catheter tip is positioned in the vena cava, there is typically no systolic/diastolic variation (constant pressure). Systolic/diastolic CVP components (mean, systolic, diastolic) are only relevant when the catheter tip is positioned in the right atrium, where cardiac pulsations create pressure variations across the cardiac cycle
- Use the generic CVP concept (SNOMED 71420008 or LOINC 60985-9) for vena cava measurements; use timing-specific concepts (mean, systolic, diastolic) only for right atrial measurements"
326,"Vitals","Haemodynamics","Diastolic arterial pressure","# Definition

Diastolic arterial pressure represents the minimum arterial pressure during ventricular diastole (heart relaxation), expressed in **millimeters of mercury (mmHg)**. Normal diastolic blood pressure in adults typically ranges from approximately 60-90 mmHg. It is a fundamental hemodynamic parameter used to assess cardiovascular function and peripheral vascular resistance.

# Mapping Strategy

LOINC uses **post-coordinated concepts** that combine multiple dimensions (measurement method + position + anatomical location) into single codes. This can create redundancy when only one dimension (e.g., invasive vs non-invasive method) is documented. For most ICU use cases, we recommend capturing the measurement method and linking position or anatomical location separately via OMOP FACT_RELATIONSHIP table.

Prioritize the **measurement method** (invasive vs non-invasive) over position or anatomical location modifiers.

**Note on ""Diastolic blood pressure"" concepts:**
- **Diastolic blood pressure** (SNOMED 271650006) and **Diastolic blood pressure** (LOINC 8462-4) both refer to arterial pressure, but we prefer the more explicit SNOMED ""Diastolic arterial pressure"" concept with ""arterial"" explicitly stated to avoid any ambiguity.

**For combined information**: If both measurement method and position/anatomical site are documented and clinically important, use FACT_RELATIONSHIP to link the measurement method concept to a SNOMED position or anatomical site concept.

## Recommended concepts

**Default concept:**

- **Diastolic arterial pressure** (SNOMED 1091811000000102): Use when measurement method is unspecified

**Measurement method concepts:**

- **Invasive diastolic arterial pressure** (SNOMED 251073000): Invasive measurement via arterial catheter (most accurate for intensive care unit monitoring)
- **Non-invasive diastolic arterial pressure** (SNOMED 174255007): Non-invasive measurement via automated blood pressure cuff or manual auscultation

## Not recommended for routine use

Use these concepts **only when position, anatomical location, or clinical context is the primary clinical focus** (e.g., orthostatic vital sign assessment, exercise stress testing, specific arterial pressure monitoring for research).

For most use cases, we recommend capturing patient position or specific arterial location separately using OMOP FACT_RELATIONSHIP table linked to SNOMED position concepts (e.g., ""Supine body position"" SNOMED 4221822, ""Sitting position"" SNOMED 4142787) or anatomical site concepts rather than using post-coordinated LOINC concepts.

For measurements taken from arterial catheters at specific anatomical locations, you can link the measurement to the patient's arterial catheter device (domain_id Device) via FACT_RELATIONSHIP. See the general concept ""Arterial catheter"" for device mapping guidance.

**Generic ""Diastolic blood pressure"" concepts (use explicit ""arterial"" concepts instead):**

- **Diastolic blood pressure** (SNOMED 271650006): Ambiguous - includes both arterial and venous diastolic pressures
- **Diastolic blood pressure** (LOINC 8462-4): Refers to arterial pressure but lacks explicit terminology
- **Invasive Diastolic blood pressure** (LOINC 76213-8): Use ""Invasive diastolic arterial pressure"" (SNOMED 251073000) instead
- **Diastolic blood pressure by Noninvasive** (LOINC 76535-4): Use ""Non-invasive diastolic arterial pressure"" (SNOMED 174255007) instead
- **Diastolic blood pressure by Continuous non-invasive monitoring** (LOINC 75995-1): Use ""Non-invasive diastolic arterial pressure"" (SNOMED 174255007) instead

**Specific concepts by patient position:**

- **Diastolic blood pressure--supine** (LOINC 8455-8): Measured while patient is lying flat
- **Lying diastolic blood pressure** (SNOMED 407557002): Measured while patient is lying (generic lying position)
- **Diastolic blood pressure--sitting** (LOINC 8453-3): Measured while patient is seated
- **Diastolic blood pressure--standing** (LOINC 8454-1): Measured while patient is upright/standing
- **Diastolic blood pressure--lying in L-lateral position** (LOINC 89267-9): Measured while patient is lying on left side

**Specific concepts by clinical context:**

- **Diastolic blood pressure--during anesthesia** (LOINC 89281-0): Measured intraoperatively under anesthesia
- **Diastolic blood pressure--expiration** (LOINC 8446-7): Measured during expiratory phase of respiration
- **Diastolic blood pressure--inspiration** (LOINC 8447-5): Measured during inspiratory phase of respiration
- **Diastolic blood pressure--W exercise** (LOINC 87740-7): Measured during exercise
- **Diastolic blood pressure--post exercise** (LOINC 87736-5): Measured after exercise completion

**Specific concepts by anatomical location (arterial catheter site):**

- **Radial artery Diastolic blood pressure** (LOINC 8500-1): Invasive measurement from radial artery catheter
- **Radial artery - left Diastolic blood pressure** (LOINC 8526-6): Left radial artery
- **Radial artery - right Diastolic blood pressure** (LOINC 8527-4): Right radial artery
- **Femoral artery Diastolic blood pressure** (LOINC 8498-8): Invasive measurement from femoral artery catheter
- **Femoral artery - left Diastolic blood pressure** (LOINC 8518-3): Left femoral artery
- **Femoral artery - right Diastolic blood pressure** (LOINC 8519-1): Right femoral artery

**Specialized concepts:**

- **Non-invasive central diastolic blood pressure** (SNOMED 1036571000000105): Central aortic diastolic pressure estimated non-invasively (specialized use for vascular assessment)

# Important Notes

- **Prioritize measurement method over position/location**: Use ""Invasive diastolic arterial pressure"" or ""Non-invasive diastolic arterial pressure"" rather than position-specific or anatomical site-specific concepts unless the specific site is clinically critical
- **Prefer explicit ""arterial"" terminology**: Use SNOMED concepts with ""arterial"" explicitly in the name to avoid confusion"
